Name,p_small,p_med,p_large
Bacon & Hash Burger Combo,$9.95,$11.45,$12.95
Chicken Breakfast Wrap Combo,$9.95,$11.45,$12.95
Classic Roast with Chips,$9.95,$10.45,$10.95
Classic Roast with Mash,$9.95,$10.45,$10.95
Bacon & Cheese Rippa Roll,$9.95,$10.23,$10.50
10 Cheesy Nuggets,$9.95,$10.20,$10.45
6 Pieces Hot Honey Buttermilk Wings,$9.95,$10.20,$10.45
6 Pieces Smokey BBQ Buttermilk Wings,$9.95,$10.20,$10.45
BBQ Bacon Burger,$9.25,$9.50,$9.75
3 Pieces Sweet & Sour Crunch,$8.95,$9.13,$9.30
3 Pieces Hot Honey Fried Chicken,$8.95,$10.40,$11.85
3 Pieces Reds Hot Fried Chicken,$8.95,$10.40,$11.85
6 Pieces Buttermilk Wings,$8.75,$9.00,$9.25
Reds Veggie Burger,$8.25,$10.25,$12.25
3 Pieces Tenders,$8.25,$9.50,$10.75
Chicken Loaded Chips,$7.95,$8.20,$8.45
10 Chicken Nuggets,$7.95,$8.10,$8.25
Bacon & Egg Burger Combo,$7.95,$9.70,$11.45
Bacon & Egg Wrap Combo,$7.95,$9.70,$11.45
3 Pieces Fried Chicken,$7.95,$9.33,$10.70
Hot Honey Fried Chicken - 2 pc,$7.90,$8.20,$8.50
Large Chips & 600ml Drink,$7,$8,$8.50
Large Chips & 600ml Pepsi Max,$7,$8,$8.50
Large Chips & 600ml Sunkist Zero,$7,$8,$8.50
Large Chips & Apple Juice,$7,$8,$8.50
Large Chips & Orange Juice,$7,$8,$8.50
20 x Snack Sub Herb Mayo,$67.50,$68.85,$70.20
30 Pieces Fried Chicken,$62.50,$63.75,$65
2 Pieces Hot Honey Fried Chicken,$5.95,$6.93,$7.90
2 Pieces Reds Hot Fried Chicken,$5.95,$6.93,$7.90
Corn Wheels - 12pcs,$5.95,$6.20,$6.45
2 Pieces Sweet & Sour Crunch,$5.95,$6.08,$6.20
2 Pieces Fried Chicken,$5.30,$6.23,$7.15
Large Chips,$5.25,$5.40,$5.55
18 Pieces Hot Honey Fried Chicken,$49.95,$50.20,$50.45
18 Pieces Reds Hot Fried Chicken,$49.95,$50.20,$50.45
60 Cheesy Nuggets,$44.85,$45.75,$46.65
18 Pieces Fried Chicken,$40.45,$40.70,$40.95
3 Pieces Buttermilk Wing,$4.95,$5.05,$5.15
Lipton Lemon,$4.95,$4.98,$5
Large Crunchy Potato,$4.50,$4.75,$5
Large Crunchy Slaw,$4.50,$4.75,$5
Large Gravy,$4.50,$4.75,$5
Large Mash & Gravy,$4.50,$4.75,$5
Large Peas,$4.50,$4.75,$5
Large Sweet Potato,$4.50,$4.75,$5
600ml Solo,$4.50,$8.23,$11.95
Brownes Chocolate Milk,$4.45,$4.70,$4.95
Brownes Iced Coffee,$4.40,$4.70,$5
Apple Juice,$4.40,$4.70,$5
Orange Juice,$4.25,$4.38,$4.50
10 x Snack Sub Herb Mayo,$4.25,$4.38,$4.50
30 Chicken Wings,$37.50,$38.25,$39
Mixed Fried Pack,$36.80,$37.53,$38.25
12 Pieces Hot Honey Fried Chicken,$31.95,$36.45,$40.95
12 Pieces Reds Hot Fried Chicken,$31.95,$32.20,$32.45
12 Pieces Sweet & Sour Crunch,$31.95,$32.20,$32.45
15 Pieces Fried Chicken,$31.95,$32.20,$32.45
Chipotle Snack Sub,$31.10,$31.73,$32.35
Chilli Aioli Snack Sub,$3.95,$4.45,$4.95
Herb Mayo Snack Sub,$3.95,$4.23,$4.50
Honey Roast BBQ Snack Sub,$3.95,$4.23,$4.50
Pickle Mayo Snack Sub,$3.95,$4.23,$4.50
Cool Ridge Water,$3.95,$4.23,$4.50
Cool Ridge Sparkling Water,$3.75,$3.88,$4
375ml Mountain Dew,$3.75,$3.85,$3.95
Gooey Chocolate Cake,$3.50,$3.73,$3.95
1 Piece Fried Chicken,$3.45,$4.10,$4.75
3 Cheesy Nuggets,$3.45,$3.60,$3.75
3 Chicken Nuggets,$3,$4,$4.20
12 Pieces Fried Chicken,$3,$4,$4.20
FREE 1.25L drink with Shared Burger Pack,$28.75,$29.00,$29.25
20 Chicken Wings,$28.70,$30.83,$32.95
10 Pieces Fried Chicken,$24.50,$25.00,$25.50
30 Cheesy Nuggets,$23.95,$24.43,$24.90
30 Chicken Nuggets,$22.45,$22.90,$23.35
8 Pieces Hot Honey Fried Chicken,$22.45,$22.90,$23.35
8 Pieces Sweet & Sour Crunch,$21.30,$24.63,$27.95
Regular Crunchy Slaw,$21.30,$21.73,$22.15
Pineapple Fritter 2pc,$2.95,$4.95,$6.95
1 Piece Tender,$2.95,$3.98,$5
Kids Apple,$2.95,$3.18,$3.40
Kids Water,$2.95,$3.10,$3.25
Regular Gravy,$2.95,$3.10,$3.25
$2 Large Chips,$2.75,$3.00,$3.25
10 Pineapple Fritters,$2,$2,$2.50
15 Chicken Wings,$19.95,$20.45,$20.95
24 Cheesy Nuggets,$18.40,$18.78,$19.15
6 Pieces Hot Honey Fried Chicken,$17.95,$18.30,$18.65
6 Pieces Reds Hot Fried Chicken,$17.95,$18.20,$18.45
6 Pieces Sweet & Sour Crunch,$17.95,$18.20,$18.45
Triple Trop Burger Box,$17.95,$18.20,$18.45
Triple Chilli Aioli Rippa Box,$17.95,$18.20,$18.45
Triple Honey BBQ Rippa Box,$17.75,$20.75,$23.75
Triple BBQ Bacon burger box,$17.75,$20.75,$23.75
Triple Picklebird Box,$17.25,$17.50,$17.75
Triple Rippa Box,$17.25,$17.50,$17.75
Triple Spicy burger box,$17.25,$17.50,$17.75
6 Pieces Fried Chicken,$16.25,$16.50,$16.75
Chilli Aioli Rippa Box,$15.95,$16.20,$16.45
Honey BBQ Rippa Box,$15.75,$18.75,$21.75
BBQ Bacon Burger Box,$15.75,$18.75,$21.75
Flayva Wrap - Triple Combo,$15.25,$15.50,$15.75
Rippa Box,$15.25,$15.50,$15.75
20 Cheesy Nuggets,$15.25,$15.50,$15.75
20 Chicken Nuggets,$14.95,$15.45,$15.95
20 x Cheesy Nuggets,$14.95,$15.45,$15.95
6 Pieces Tenders,$14.95,$15.25,$15.55
Spicy Burger - Triple Combo,$14.45,$16.10,$17.75
Spicy Burger Box,$14.45,$14.73,$15
Bacon & Cheese Rippa Roll Combo,$14.25,$14.50,$14.75
Half Chicken Combo,$14.25,$14.50,$14.75
Chicken Nugget 10 pack Combo,$13.95,$14.48,$15
Picklebird Burger - VEGGIE - Combo,$13.95,$14.45,$14.95
Honey BBQ Rippa Roll - Combo,$13.95,$14.20,$14.45
10 Pieces Hot Honey Buttermilk Wings,$13.75,$15.85,$17.95
10 Pieces Smokey BBQ Buttermilk Wings,$13.75,$15.60,$17.45
Trop Box,$13.45,$13.70,$13.95
Chilli Aioli Rippa Roll - Combo,$13.45,$13.70,$13.95
Rooster Roll Combo,$13.45,$13.70,$13.95
Reds Burger - VEGGIE - Combo,$13.25,$15.35,$17.45
Tenders - 3 pc Combo,$13.25,$13.50,$13.75
10 Pieces Buttermilk Wings,$12.75,$14.85,$16.95
35 x Snack Sub Herb Mayo,$12.25,$12.75,$13.25
Triple Bacon & Cheese Rippa Roll,$12.25,$12.50,$12.75
15 Cheesy Nuggets,$112.50,$114.75,$117
15 Chicken Nuggets,$11.95,$12.23,$12.50
12 Cheesy Nuggets,$11.95,$12.20,$12.45
Triple Honey BBQ Rippa Roll,$11.95,$12.20,$12.45
Triple BBQ Bacon Burger,$11.90,$12.15,$12.40
Triple Picklebird Burger,$11.25,$13.00,$14.75
Chicken Pops - Large,$11.25,$11.50,$11.75
10 Buttermilk Wings,$11.25,$11.50,$11.75
Chicken Nuggets 6 pack Combo,$10.95,$12.45,$13.95
Chicken Pops - Regular Combo,$10.95,$11.45,$11.95
Triple Reds Burger,$10.95,$11.20,$11.45
Triple Spicy Burger,$10.95,$11.20,$11.45
4 Pieces Tenders,$10.25,$10.50,$10.75
Classic Meal,$10.25,$10.50,$10.75
40 Pieces Fried Chicken,$10,$12,$14.30
Sub Lovers - Small,$10,$11,$12
24 Pieces Fried Chicken,$82.95,,
25 Tenders,$63.75,,
18 Pieces Sweet & Sour Crunch,$59.95,,
18 Pieces Mixed Fried Chicken,$52.95,,
18 Pieces Original Chicken,$52.95,,
$40 Big Feast,$49.95,,
16 Pieces Fried Chicken,$49.95,,
10 x Snack Sub Honey BBQ,$40.45,,
Fried Pack,$40.45,,
Rooster Feed,$40,,
12 Pieces Mixed Fried Chicken,$37.95,,
12 Pieces Original Chicken,$37.50,,
8 Piece Sweet & Sour Crunch + Gravy + Lrg Chips,$31.95,,
Aussie Favourite,$31.95,,
$25 Burger Pack,$31.95,,
10 Tenders,$31.95,,
Rippa Deal,$30,,
$17.95 Whole Roast Chicken and Chips,$28.75,,
Chilli Aioli Rippa Box - Triple,$28.75,,
Honey BBQ Rippa Box - Triple,$27.95,,
Buttermilk Wings 10 pack Combo,$25.95,,
Reds burger box - Triple,$25,,
Spicy burger box - Triple,$21.95,,
6 Pieces Mixed Fried Chicken,$18,,
6 Pieces Original Chicken,$17.95,,
Hot Honey Satisfryer,$17.95,,
Reds Hot Satisfryer,$17.95,,
15 x Chicken Nuggets,$17.95,,
Chickmas Burger Box,$17.25,,
$14.95 Chicken & Chips,$17.25,,
Chicken Pops - Large Combo,$16.25,,
Whole Chicken,$16.25,,
6 pc Reds Hot Fried Chicken,$16.25,,
